CHAVE DE ACESSO,MODELO,SÉRIE,NÚMERO,NATUREZA DA OPERAÇÃO,DATA EMISSÃO,EVENTO MAIS RECENTE,DATA/HORA EVENTO MAIS RECENTE,CPF/CNPJ Emitente,RAZÃO SOCIAL EMITENTE,INSCRIÇÃO ESTADUAL EMITENTE,UF EMITENTE,MUNICÍPIO EMITENTE,CNPJ DESTINATÁRIO,NOME DESTINATÁRIO,UF DESTINATÁRIO,INDICADOR IE DESTINATÁRIO,DESTINO DA OPERAÇÃO,CONSUMIDOR FINAL,PRESENÇA DO COMPRADOR,VALOR NOTA FISCAL
,,,,,2024-07-20,,2024-07-20,10000017/0001-17,,,,Sigma Distribuições,10000017/0001-17,Sigma Distribuições,,,,,,202407-0001
,,,,,2024-07-18,,2024-07-18,10000005/0001-05,,,,Gamma Importações,10000005/0001-05,Gamma Importações,,,,,,202407-0002
,,,,,2024-07-12,,2024-07-12,10000014/0001-14,,,,Gamma Importações,10000014/0001-14,Gamma Importações,,,,,,202407-0003
,,,,,2024-07-14,,2024-07-14,10000012/0001-12,,,,Sigma Distribuições,10000012/0001-12,Sigma Distribuições,,,,,,202407-0004
,,,,,2024-07-24,,2024-07-24,10000021/0001-21,,,,Sigma Distribuições,10000021/0001-21,Sigma Distribuições,,,,,,202407-0005
,,,,,2024-07-05,,2024-07-05,10000020/0001-20,,,,Zeta Ltda,10000020/0001-20,Zeta Ltda,,,,,,202407-0006
,,,,,2024-07-04,,2024-07-04,10000011/0001-11,,,,Delta Serviços,10000011/0001-11,Delta Serviços,,,,,,202407-0007
,,,,,2024-07-04,,2024-07-04,10000014/0001-14,,,,Zeta Ltda,10000014/0001-14,Zeta Ltda,,,,,,202407-0008
,,,,,2024-07-04,,2024-07-04,10000010/0001-10,,,,ACME Comércio Ltda,10000010/0001-10,ACME Comércio Ltda,,,,,,202407-0009
,,,,,2024-07-18,,2024-07-18,10000026/0001-26,,,,Sigma Distribuições,10000026/0001-26,Sigma Distribuições,,,,,,202407-0010
,,,,,2024-07-18,,2024-07-18,10000025/0001-25,,,,Zeta Ltda,10000025/0001-25,Zeta Ltda,,,,,,202407-0011
,,,,,2024-07-25,,2024-07-25,10000028/0001-28,,,,Sigma Distribuições,10000028/0001-28,Sigma Distribuições,,,,,,202407-0012
,,,,,2024-07-10,,2024-07-10,10000020/0001-20,,,,Omega Comércio,10000020/0001-20,Omega Comércio,,,,,,202407-0013
,,,,,2024-07-08,,2024-07-08,10000027/0001-27,,,,Epsilon Produtos,10000027/0001-27,Epsilon Produtos,,,,,,202407-0014
