CHAVE DE ACESSO,MODELO,SÉRIE,NÚMERO,NATUREZA DA OPERAÇÃO,DATA EMISSÃO,EVENTO MAIS RECENTE,DATA/HORA EVENTO MAIS RECENTE,CPF/CNPJ Emitente,RAZÃO SOCIAL EMITENTE,INSCRIÇÃO ESTADUAL EMITENTE,UF EMITENTE,MUNICÍPIO EMITENTE,CNPJ DESTINATÁRIO,NOME DESTINATÁRIO,UF DESTINATÁRIO,INDICADOR IE DESTINATÁRIO,DESTINO DA OPERAÇÃO,CONSUMIDOR FINAL,PRESENÇA DO COMPRADOR,VALOR NOTA FISCAL
,,,,,2024-05-07,,2024-05-07,10000008/0001-08,,,,Omega Comércio,10000008/0001-08,Omega Comércio,,,,,,202405-0001
,,,,,2024-05-27,,2024-05-27,10000016/0001-16,,,,Zeta Ltda,10000016/0001-16,Zeta Ltda,,,,,,202405-0002
,,,,,2024-05-02,,2024-05-02,10000016/0001-16,,,,Epsilon Produtos,10000016/0001-16,Epsilon Produtos,,,,,,202405-0003
,,,,,2024-05-21,,2024-05-21,10000011/0001-11,,,,Omega Comércio,10000011/0001-11,Omega Comércio,,,,,,202405-0004
,,,,,2024-05-03,,2024-05-03,10000025/0001-25,,,,Delta Serviços,10000025/0001-25,Delta Serviços,,,,,,202405-0005
,,,,,2024-05-03,,2024-05-03,10000013/0001-13,,,,Omega Comércio,10000013/0001-13,Omega Comércio,,,,,,202405-0006
,,,,,2024-05-02,,2024-05-02,10000025/0001-25,,,,Beta Distribuição SA,10000025/0001-25,Beta Distribuição SA,,,,,,202405-0007
,,,,,2024-05-15,,2024-05-15,10000024/0001-24,,,,Sigma Distribuições,10000024/0001-24,Sigma Distribuições,,,,,,202405-0008
,,,,,2024-05-13,,2024-05-13,10000025/0001-25,,,,Sigma Distribuições,10000025/0001-25,Sigma Distribuições,,,,,,202405-0009
,,,,,2024-05-19,,2024-05-19,10000030/0001-30,,,,Delta Serviços,10000030/0001-30,Delta Serviços,,,,,,202405-0010
,,,,,2024-05-22,,2024-05-22,10000016/0001-16,,,,Epsilon Produtos,10000016/0001-16,Epsilon Produtos,,,,,,202405-0011
,,,,,2024-05-27,,2024-05-27,10000026/0001-26,,,,Zeta Ltda,10000026/0001-26,Zeta Ltda,,,,,,202405-0012
,,,,,2024-05-26,,2024-05-26,10000019/0001-19,,,,Zeta Ltda,10000019/0001-19,Zeta Ltda,,,,,,202405-0013
,,,,,2024-05-10,,2024-05-10,10000017/0001-17,,,,Gamma Importações,10000017/0001-17,Gamma Importações,,,,,,202405-0014
,,,,,2024-05-10,,2024-05-10,10000026/0001-26,,,,Gamma Importações,10000026/0001-26,Gamma Importações,,,,,,202405-0015
,,,,,2024-05-05,,2024-05-05,10000032/0001-32,,,,Sigma Distribuições,10000032/0001-32,Sigma Distribuições,,,,,,202405-0016
,,,,,2024-05-24,,2024-05-24,10000020/0001-20,,,,Gamma Importações,10000020/0001-20,Gamma Importações,,,,,,202405-0017
,,,,,2024-05-19,,2024-05-19,10000027/0001-27,,,,ACME Comércio Ltda,10000027/0001-27,ACME Comércio Ltda,,,,,,202405-0018
,,,,,2024-05-05,,2024-05-05,10000032/0001-32,,,,Epsilon Produtos,10000032/0001-32,Epsilon Produtos,,,,,,202405-0019
,,,,,2024-05-10,,2024-05-10,10000035/0001-35,,,,Omega Comércio,10000035/0001-35,Omega Comércio,,,,,,202405-0020
,,,,,2024-05-02,,2024-05-02,10000033/0001-33,,,,Delta Serviços,10000033/0001-33,Delta Serviços,,,,,,202405-0021
,,,,,2024-05-22,,2024-05-22,10000031/0001-31,,,,ACME Comércio Ltda,10000031/0001-31,ACME Comércio Ltda,,,,,,202405-0022
,,,,,2024-05-07,,2024-05-07,10000029/0001-29,,,,Zeta Ltda,10000029/0001-29,Zeta Ltda,,,,,,202405-0023
,,,,,2024-05-15,,2024-05-15,10000033/0001-33,,,,ACME Comércio Ltda,10000033/0001-33,ACME Comércio Ltda,,,,,,202405-0024
,,,,,2024-05-10,,2024-05-10,10000032/0001-32,,,,Omega Comércio,10000032/0001-32,Omega Comércio,,,,,,202405-0025
,,,,,2024-05-13,,2024-05-13,10000027/0001-27,,,,ACME Comércio Ltda,10000027/0001-27,ACME Comércio Ltda,,,,,,202405-0026
,,,,,2024-05-14,,2024-05-14,10000045/0001-45,,,,Beta Distribuição SA,10000045/0001-45,Beta Distribuição SA,,,,,,202405-0027
,,,,,2024-05-10,,2024-05-10,10000037/0001-37,,,,ACME Comércio Ltda,10000037/0001-37,ACME Comércio Ltda,,,,,,202405-0028
,,,,,2024-05-20,,2024-05-20,10000041/0001-41,,,,Delta Serviços,10000041/0001-41,Delta Serviços,,,,,,202405-0029
,,,,,2024-05-10,,2024-05-10,10000039/0001-39,,,,ACME Comércio Ltda,10000039/0001-39,ACME Comércio Ltda,,,,,,202405-0030
,,,,,2024-05-25,,2024-05-25,10000047/0001-47,,,,Sigma Distribuições,10000047/0001-47,Sigma Distribuições,,,,,,202405-0031
,,,,,2024-05-23,,2024-05-23,10000033/0001-33,,,,ACME Comércio Ltda,10000033/0001-33,ACME Comércio Ltda,,,,,,202405-0032
,,,,,2024-05-01,,2024-05-01,10000040/0001-40,,,,Omega Comércio,10000040/0001-40,Omega Comércio,,,,,,202405-0033
,,,,,2024-05-13,,2024-05-13,10000053/0001-53,,,,Gamma Importações,10000053/0001-53,Gamma Importações,,,,,,202405-0034
,,,,,2024-05-08,,2024-05-08,10000053/0001-53,,,,Beta Distribuição SA,10000053/0001-53,Beta Distribuição SA,,,,,,202405-0035
,,,,,2024-05-18,,2024-05-18,10000051/0001-51,,,,Omega Comércio,10000051/0001-51,Omega Comércio,,,,,,202405-0036
,,,,,2024-05-01,,2024-05-01,10000054/0001-54,,,,ACME Comércio Ltda,10000054/0001-54,ACME Comércio Ltda,,,,,,202405-0037
,,,,,2024-05-24,,2024-05-24,10000051/0001-51,,,,Epsilon Produtos,10000051/0001-51,Epsilon Produtos,,,,,,202405-0038
,,,,,2024-05-22,,2024-05-22,10000056/0001-56,,,,ACME Comércio Ltda,10000056/0001-56,ACME Comércio Ltda,,,,,,202405-0039
,,,,,2024-05-16,,2024-05-16,10000043/0001-43,,,,Gamma Importações,10000043/0001-43,Gamma Importações,,,,,,202405-0040
,,,,,2024-05-27,,2024-05-27,10000061/0001-61,,,,Delta Serviços,10000061/0001-61,Delta Serviços,,,,,,202405-0041
,,,,,2024-05-06,,2024-05-06,10000049/0001-49,,,,Omega Comércio,10000049/0001-49,Omega Comércio,,,,,,202405-0042
,,,,,2024-05-02,,2024-05-02,10000058/0001-58,,,,Omega Comércio,10000058/0001-58,Omega Comércio,,,,,,202405-0043
,,,,,2024-05-10,,2024-05-10,10000063/0001-63,,,,Gamma Importações,10000063/0001-63,Gamma Importações,,,,,,202405-0044
,,,,,2024-05-26,,2024-05-26,10000064/0001-64,,,,Gamma Importações,10000064/0001-64,Gamma Importações,,,,,,202405-0045
,,,,,2024-05-12,,2024-05-12,10000058/0001-58,,,,Delta Serviços,10000058/0001-58,Delta Serviços,,,,,,202405-0046
,,,,,2024-05-23,,2024-05-23,10000060/0001-60,,,,Epsilon Produtos,10000060/0001-60,Epsilon Produtos,,,,,,202405-0047
,,,,,2024-05-14,,2024-05-14,10000060/0001-60,,,,Delta Serviços,10000060/0001-60,Delta Serviços,,,,,,202405-0048
,,,,,2024-05-23,,2024-05-23,10000051/0001-51,,,,Beta Distribuição SA,10000051/0001-51,Beta Distribuição SA,,,,,,202405-0049
,,,,,2024-05-04,,2024-05-04,10000055/0001-55,,,,Epsilon Produtos,10000055/0001-55,Epsilon Produtos,,,,,,202405-0050
,,,,,2024-05-15,,2024-05-15,10000056/0001-56,,,,Epsilon Produtos,10000056/0001-56,Epsilon Produtos,,,,,,202405-0051
,,,,,2024-05-10,,2024-05-10,10000070/0001-70,,,,Beta Distribuição SA,10000070/0001-70,Beta Distribuição SA,,,,,,202405-0052
,,,,,2024-05-09,,2024-05-09,10000069/0001-69,,,,Sigma Distribuições,10000069/0001-69,Sigma Distribuições,,,,,,202405-0053
,,,,,2024-05-10,,2024-05-10,10000058/0001-58,,,,Delta Serviços,10000058/0001-58,Delta Serviços,,,,,,202405-0054
,,,,,2024-05-06,,2024-05-06,10000066/0001-66,,,,Gamma Importações,10000066/0001-66,Gamma Importações,,,,,,202405-0055
,,,,,2024-05-01,,2024-05-01,10000071/0001-71,,,,Omega Comércio,10000071/0001-71,Omega Comércio,,,,,,202405-0056
,,,,,2024-05-07,,2024-05-07,10000068/0001-68,,,,Gamma Importações,10000068/0001-68,Gamma Importações,,,,,,202405-0057
,,,,,2024-05-20,,2024-05-20,10000074/0001-74,,,,Sigma Distribuições,10000074/0001-74,Sigma Distribuições,,,,,,202405-0058
,,,,,2024-05-25,,2024-05-25,10000076/0001-76,,,,ACME Comércio Ltda,10000076/0001-76,ACME Comércio Ltda,,,,,,202405-0059
,,,,,2024-05-14,,2024-05-14,10000067/0001-67,,,,Omega Comércio,10000067/0001-67,Omega Comércio,,,,,,202405-0060
,,,,,2024-05-13,,2024-05-13,10000081/0001-81,,,,Delta Serviços,10000081/0001-81,Delta Serviços,,,,,,202405-0061
,,,,,2024-05-13,,2024-05-13,10000080/0001-80,,,,Beta Distribuição SA,10000080/0001-80,Beta Distribuição SA,,,,,,202405-0062
,,,,,2024-05-11,,2024-05-11,10000082/0001-82,,,,Gamma Importações,10000082/0001-82,Gamma Importações,,,,,,202405-0063
,,,,,2024-05-12,,2024-05-12,10000080/0001-80,,,,Sigma Distribuições,10000080/0001-80,Sigma Distribuições,,,,,,202405-0064
,,,,,2024-05-10,,2024-05-10,10000081/0001-81,,,,Sigma Distribuições,10000081/0001-81,Sigma Distribuições,,,,,,202405-0065
,,,,,2024-05-25,,2024-05-25,10000078/0001-78,,,,Delta Serviços,10000078/0001-78,Delta Serviços,,,,,,202405-0066
,,,,,2024-05-17,,2024-05-17,10000081/0001-81,,,,Zeta Ltda,10000081/0001-81,Zeta Ltda,,,,,,202405-0067
,,,,,2024-05-05,,2024-05-05,10000085/0001-85,,,,ACME Comércio Ltda,10000085/0001-85,ACME Comércio Ltda,,,,,,202405-0068
,,,,,2024-05-17,,2024-05-17,10000076/0001-76,,,,Omega Comércio,10000076/0001-76,Omega Comércio,,,,,,202405-0069
,,,,,2024-05-03,,2024-05-03,10000074/0001-74,,,,Delta Serviços,10000074/0001-74,Delta Serviços,,,,,,202405-0070
,,,,,2024-05-25,,2024-05-25,10000082/0001-82,,,,Gamma Importações,10000082/0001-82,Gamma Importações,,,,,,202405-0071
,,,,,2024-05-07,,2024-05-07,10000078/0001-78,,,,Zeta Ltda,10000078/0001-78,Zeta Ltda,,,,,,202405-0072
,,,,,2024-05-07,,2024-05-07,10000082/0001-82,,,,ACME Comércio Ltda,10000082/0001-82,ACME Comércio Ltda,,,,,,202405-0073
,,,,,2024-05-10,,2024-05-10,10000085/0001-85,,,,Gamma Importações,10000085/0001-85,Gamma Importações,,,,,,202405-0074
,,,,,2024-05-20,,2024-05-20,10000078/0001-78,,,,Gamma Importações,10000078/0001-78,Gamma Importações,,,,,,202405-0075
,,,,,2024-05-17,,2024-05-17,10000078/0001-78,,,,Beta Distribuição SA,10000078/0001-78,Beta Distribuição SA,,,,,,202405-0076
,,,,,2024-05-26,,2024-05-26,10000090/0001-90,,,,Epsilon Produtos,10000090/0001-90,Epsilon Produtos,,,,,,202405-0077
,,,,,2024-05-25,,2024-05-25,10000098/0001-98,,,,Delta Serviços,10000098/0001-98,Delta Serviços,,,,,,202405-0078
,,,,,2024-05-01,,2024-05-01,10000085/0001-85,,,,Zeta Ltda,10000085/0001-85,Zeta Ltda,,,,,,202405-0079
,,,,,2024-05-06,,2024-05-06,10000083/0001-83,,,,Gamma Importações,10000083/0001-83,Gamma Importações,,,,,,202405-0080
