CHAVE DE ACESSO,MODELO,SÉRIE,NÚMERO,NATUREZA DA OPERAÇÃO,DATA EMISSÃO,EVENTO MAIS RECENTE,DATA/HORA EVENTO MAIS RECENTE,CPF/CNPJ Emitente,RAZÃO SOCIAL EMITENTE,INSCRIÇÃO ESTADUAL EMITENTE,UF EMITENTE,MUNICÍPIO EMITENTE,CNPJ DESTINATÁRIO,NOME DESTINATÁRIO,UF DESTINATÁRIO,INDICADOR IE DESTINATÁRIO,DESTINO DA OPERAÇÃO,CONSUMIDOR FINAL,PRESENÇA DO COMPRADOR,VALOR NOTA FISCAL
202402-0001,,,,,2024-02-12,,2024-02-12,Sigma Distribuições,,,,,10000009/0001-09,Sigma Distribuições,,,,,,10502.00
202402-0002,,,,,2024-02-26,,2024-02-26,Gamma Importações,,,,,10000005/0001-05,Gamma Importações,,,,,,3989.59
202402-0003,,,,,2024-02-12,,2024-02-12,Delta Serviços,,,,,10000015/0001-15,Delta Serviços,,,,,,9753.35
202402-0004,,,,,2024-02-19,,2024-02-19,Gamma Importações,,,,,10000007/0001-07,Gamma Importações,,,,,,13415.68
202402-0005,,,,,2024-02-18,,2024-02-18,Sigma Distribuições,,,,,10000013/0001-13,Sigma Distribuições,,,,,,9046.79
202402-0006,,,,,2024-02-17,,2024-02-17,Beta Distribuição SA,,,,,10000008/0001-08,Beta Distribuição SA,,,,,,11425.67
202402-0007,,,,,2024-02-10,,2024-02-10,Delta Serviços,,,,,10000019/0001-19,Delta Serviços,,,,,,16198.83
202402-0008,,,,,2024-02-06,,2024-02-06,Epsilon Produtos,,,,,10000013/0001-13,Epsilon Produtos,,,,,,7044.46
202402-0009,,,,,2024-02-06,,2024-02-06,Delta Serviços,,,,,10000029/0001-29,Delta Serviços,,,,,,17663.01
202402-0010,,,,,2024-02-01,,2024-02-01,Gamma Importações,,,,,10000029/0001-29,Gamma Importações,,,,,,14053.34
202402-0011,,,,,2024-02-02,,2024-02-02,Beta Distribuição SA,,,,,10000029/0001-29,Beta Distribuição SA,,,,,,20296.84
202402-0012,,,,,2024-02-03,,2024-02-03,Delta Serviços,,,,,10000024/0001-24,Delta Serviços,,,,,,12953.63
202402-0013,,,,,2024-02-12,,2024-02-12,Gamma Importações,,,,,10000024/0001-24,Gamma Importações,,,,,,11078.74
202402-0014,,,,,2024-02-08,,2024-02-08,Sigma Distribuições,,,,,10000030/0001-30,Sigma Distribuições,,,,,,4297.29
202402-0015,,,,,2024-02-12,,2024-02-12,Beta Distribuição SA,,,,,10000025/0001-25,Beta Distribuição SA,,,,,,13943.09
